Date,Volume
2000-12-14,1061300000
2000-12-15,1561100000
2000-12-18,1189900000
2000-12-19,1324900000
2000-12-20,1421600000
2000-12-21,1449900000
2000-12-22,1087100000
2000-12-26,806500000
2000-12-27,1092700000
2000-12-28,1015300000
2000-12-29,1035500000
2001-01-02,1129400000
2001-01-03,1880700000
2001-01-04,2131000000
2001-01-05,1430800000
2001-01-08,1115500000
2001-01-09,1191300000
2001-01-10,1296500000
2001-01-11,1411200000
2001-01-12,1276000000
2001-01-16,1205700000
2001-01-17,1349100000
2001-01-18,1445000000
2001-01-19,1407800000
2001-01-22,1164000000
2001-01-23,1232600000
2001-01-24,1309000000
2001-01-25,1258000000
2001-01-26,1098000000
2001-01-29,1053100000
2001-01-30,1149800000
2001-01-31,1295300000
2001-02-01,1118800000
2001-02-02,1048400000
2001-02-05,1013000000
2001-02-06,1059600000
2001-02-07,1158300000
2001-02-08,1107200000
2001-02-09,1075500000
2001-02-12,1039100000
2001-02-13,1075200000
2001-02-14,1150300000
2001-02-15,1153700000
2001-02-16,1257200000
2001-02-20,1112200000
2001-02-21,1208500000
2001-02-22,1365900000
2001-02-23,1231300000
2001-02-26,1130800000
2001-02-27,1114100000
2001-02-28,1225300000
2001-03-01,1294900000
2001-03-02,1294000000
2001-03-05,929200000
2001-03-06,1091800000
2001-03-07,1132200000
2001-03-08,1114100000
2001-03-09,1085900000
2001-03-12,1229000000
2001-03-13,1360900000
2001-03-14,1397400000
2001-03-15,1259500000
2001-03-16,1543560000
2001-03-19,1126200000
2001-03-20,1235900000
2001-03-21,1346300000
2001-03-22,1723950000
2001-03-23,1364900000
2001-03-26,1114000000
2001-03-27,1314200000
2001-03-28,1333400000
2001-03-29,1234500000
2001-03-30,1280800000
2001-04-02,1254900000
2001-04-03,1386100000
2001-04-04,1425590000
2001-04-05,1368000000
2001-04-06,1266800000
2001-04-09,1062800000
2001-04-10,1349600000
2001-04-11,1290300000
2001-04-12,1102000000
2001-04-16,913900000
2001-04-17,1109600000
2001-04-18,1918900000
2001-04-19,1486800000
2001-04-20,1338700000
2001-04-23,1012600000
2001-04-24,1216500000
2001-04-25,1203600000
2001-04-26,1345200000
2001-04-27,1091300000
2001-04-30,1266800000
2001-05-01,1181300000
